Image,Detected_Text
1_jpeg.rf.fa645bf08c4903f3f7e9ab8a6875cc92.jpg,KA1VTR 022M0-20
car-wbs-TN21AT0492_00000_jpg.rf.8152583db24cd739679ba5d5cf0e80ba.jpg,p1at 0493 TN
processed_26183d88c4f8012f_jpg.rf.4dee01264b486ef95ef5fa65a5b282fe.jpg,
processed_IMG20200222210352_jpg.rf.57c73076d20145d6b36017da94627bd7.jpg,Ln @uss
ML38_jpg.rf.71c336e13e4d83c204db11bb18606e24.jpg,NL 0 6 46 96
IMG20200222205259_jpg.rf.f9c51e2d786699e88df8a219327b1653.jpg,MH0z 8T70
N40_jpeg.rf.afa71ce49c8a60c418171f605e84e0ee.jpg,"""DL0CA8A25X"
processed_c6fd0f06-b4f4-4ce7-aa6d-56d1e35ee9e3___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_fe60d053ecf5c307b79e0c513a5cbaa9-number-plates-car-accessories_jpg.rf.c7a19710ecf844d9b152dd42085097de.jpg,erraho;
processed_video6_1110_jpg.rf.059138daa241ae3da6e54177d5e41567.jpg,Jh020s9385
video11_1080_jpg.rf.590550fcba0c95a5bb7f30ebf7bb805e.jpg,UWLMCY MH 47 Y 1124 69 CN6}
video11_2780_jpg.rf.354969af3fdb65aafb5fada26cbac24e.jpg,8o3bs 4060|
processed_video4_2720_jpg.rf.4d9c115cb22ae5061a6f19da7dff0ef7.jpg,Luil}
processed_AS25_jpg.rf.837b907eea03034e71d89a05ee075f7d.jpg,350115 46z
processed_video11_2070_jpg.rf.6c2919788aae116ef99da1a7ccd43185.jpg,
processed_9498d0aff8f9ff8c_jpg.rf.4b69f542dbe7fb087264052d20889e8b.jpg,
bcdc8b42-5dd4-48e2-8104-706440524bfe___hqdefault0-jpg_jpeg.rf.feffaf440ce9bcc826e4005260781a78.jpg,1ND T508ER 1643
processed_IMG_20200222_213707_jpg.rf.31027ce453a8c8dc93ac3a7e331072f9.jpg,9 4
processed_MP4_jpg.rf.d6fee97b0928de611a503a7180dab8db.jpg,MPLLL4nJ
video3_650_jpg.rf.e411a3140392ae2aa912b59d38ab73a7.jpg,MH 02 ER 9194 [@um
video10_880_jpg.rf.946d41cd2ba5226e231e435dea164cbd.jpg,111VDU5
IMG_20200222_183921_jpg.rf.98bd04b335b27ded5e568d279b9bea13.jpg,MH 46 X 6519
processed_video10_1080_jpg.rf.d906adf9d3e8b0af7d9be6fe44e9dbba.jpg,
processed_TR5_jpg.rf.c1d307238f8b6e350bbcfb9df2dad4f6.jpg,etro 0403
video6_1040_jpg.rf.830c9a3f5409a563bd99af7cade58feb.jpg,2 [4h02059365
processed_20200222_164948_jpg.rf.7e94ff6f0abb695e613a8c69b3d7f918.jpg,1 9
processed_IMG_20200222_225114_jpg.rf.bfc3af2ee61b033472aaa0f84495be3b.jpg,MiD1 Arz015
IMG_20200222_165437577_HDR_jpg.rf.6475866a87462dbc32f5d629b7396512.jpg,8 8 5 1
IMG-20200222-WA0024-1-_jpg.rf.4f334d496861c31da5cad16c03d8b350.jpg,040z882423
processed_IMG_20200222_173818604_jpg.rf.09afce037fc92abec5872e4621a7e8d1.jpg,
processed_frame-2300_jpg.rf.3577bea34bb6e6e4c6bcce10121efc15.jpg,
processed_car-wbs-KL05AK3300_00000_jpeg.rf.5d8f71c4e62578140ac51b3d4ad6b853.jpg,KL05AKj0
processed_video9_310_jpg.rf.2cad164b7208ab38c1cfd6d839606085.jpg,KhH2FH278 60000
IMG_20200222_184334_jpg.rf.f2c9bd84cd7de94854abf14dbd9d8984.jpg,
video4_3840_jpg.rf.57c93c1515fb3a5290decfca21ab3e9c.jpg,[0z0[8oz !
processed_d8daed582e6cce2d_jpg.rf.96f1f742c82f2bf01b16c084cac7b519.jpg,FD 12
processed_frame-3320_jpg.rf.9b79d0e4a4aa90b83e2fed201a09738e.jpg,
processed_IMG_20200222_184704_jpg.rf.b99603249f6c385cb1dc6dcb54be8e72.jpg,MM 4J 0K 1501-
e9561d7c16db565f_jpg.rf.bbad027194a4266076348a9fbfa5816d.jpg,
288a95c01e43cd14_jpg.rf.48b4b80bc835f40a1937c58f3ec879a3.jpg,VY954
processed_SK7_jpg.rf.e7b53545b96c2532b42b5310a0d9ec0f.jpg,
processed_video4_2290_jpg.rf.06352f3a3e29ef646cb1d8bbdd716ef0.jpg,HH d4 CT 9150
processed_IMG_20200222_191109_jpg.rf.11d177c6db82255639c8ba01b1180201.jpg,
processed_IMG_20200222_171945129_jpg.rf.8584cf82ca321015ea655d29d4a435e7.jpg,
processed_KA18_jpg.rf.be60250d43707d60d24d5f6ca22f48b1.jpg,LieiLH1
