epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.285,0.23899,29.3061,0.18363,0,0,0,0,0,47.3112,0,0.00064,0.00064,0.00064
2,369.922,0.25732,25.3516,0.22825,0,0,0,0,0,33.2387,0,0.0011713,0.0011713,0.0011713
3,561.184,0.30359,20.9765,0.22214,0,0,0,0,0,32.0149,0,0.00157192,0.00157192,0.00157192
4,743.023,0.22049,16.5786,0.16177,0,0,0,0,0,156.94,0,0.001406,0.001406,0.001406
5,924.101,0.28569,13.3759,0.22363,0,0,0,0,0,21.6499,0,0.001208,0.001208,0.001208
6,1110.31,0.36021,10.7018,0.28971,0,0,0,0,0,17.5639,0,0.00101,0.00101,0.00101
7,1289.93,0.23194,8.95464,0.20195,0,0,0,0,0,15.2145,0,0.000812,0.000812,0.000812
8,1472.09,0.27033,7.75126,0.21661,0,0,0,0,0,13.3022,0,0.000614,0.000614,0.000614
9,1654.22,0.23761,6.92979,0.20032,0,0,0,0,0,11.5456,0,0.000416,0.000416,0.000416
10,1836.93,0.31745,6.55228,0.23613,0,0,0,0,0,11.0803,0,0.000218,0.000218,0.000218
